episode,reward,steps,reward_ma_50
369,300.0,208,696.0
370,400.0,240,700.0
371,200.0,200,688.0
372,1600.0,405,714.0
373,700.0,295,716.0
374,1100.0,344,734.0
375,300.0,201,726.0
376,100.0,192,720.0
377,1100.0,349,720.0
378,1800.0,464,720.0
379,200.0,199,720.0
380,500.0,254,714.0
381,500.0,239,712.0
382,1000.0,352,722.0
383,300.0,222,718.0
384,400.0,219,718.0
385,200.0,228,698.0
386,1400.0,370,710.0
387,500.0,264,712.0
388,300.0,216,712.0
389,500.0,228,702.0
390,400.0,241,696.0
391,500.0,240,682.0
392,1400.0,396,708.0
393,700.0,279,714.0
394,400.0,245,712.0
395,1700.0,446,724.0
396,500.0,261,718.0
397,100.0,207,714.0
398,600.0,244,710.0
399,900.0,326,718.0
400,1900.0,481,746.0
401,700.0,288,758.0
402,400.0,256,730.0
403,1300.0,362,750.0
404,400.0,204,736.0
405,300.0,237,734.0
406,1200.0,378,754.0
407,2600.0,614,788.0
408,1100.0,358,792.0
409,500.0,229,756.0
410,1200.0,378,754.0
411,300.0,250,728.0
412,1900.0,478,752.0
413,700.0,279,760.0
414,600.0,258,742.0
415,1100.0,351,756.0
416,1400.0,362,778.0
417,100.0,188,772.0
418,700.0,280,780.0
419,900.0,304,792.0
420,0.0,172,784.0
421,800.0,309,796.0
422,2100.0,544,806.0
423,400.0,264,800.0
424,400.0,259,786.0
425,1600.0,435,812.0
426,200.0,176,814.0
427,1600.0,413,824.0
428,2300.0,531,834.0
429,800.0,262,846.0
430,900.0,274,854.0
431,900.0,345,862.0
432,1100.0,374,864.0
433,400.0,210,866.0
434,400.0,214,866.0
435,1500.0,417,892.0
436,900.0,295,882.0
437,500.0,213,882.0
438,1900.0,484,914.0
439,2200.0,553,948.0
440,1100.0,332,962.0
441,1700.0,435,986.0
442,500.0,237,968.0
443,2500.0,620,1004.0
444,1000.0,347,1016.0
445,1100.0,359,1004.0
446,300.0,223,1000.0
447,2600.0,605,1050.0
448,1100.0,342,1060.0
449,1300.0,354,1068.0
450,900.0,310,1048.0
451,1300.0,342,1060.0
452,1000.0,363,1072.0
453,200.0,184,1050.0
454,1700.0,476,1076.0
455,1400.0,414,1098.0
456,1300.0,406,1100.0
457,1000.0,342,1068.0
458,1000.0,327,1066.0
459,2400.0,522,1104.0
460,900.0,301,1098.0
461,400.0,207,1100.0
462,1400.0,411,1090.0
463,900.0,323,1094.0
464,500.0,209,1092.0
465,900.0,320,1088.0
466,1600.0,414,1092.0
467,700.0,299,1104.0
468,1200.0,364,1114.0
